oligo	actualcounts	mappedcounts
UTR13.oligo454	1500	1500
UTR10.oligo153	282	282
UTR14.oligo416	669	669
UTR11.oligo184	1402	1402
UTR14.oligo393	783	783
UTR12.oligo399	1008	1008
UTR16.oligo528	365	365
UTR17.oligo130	662	662
UTR14.oligo381	1584	1584
UTR15.oligo520	1454	1454
UTR16.oligo514	1628	1628
UTR17.oligo112	1202	1202
UTR2.oligo204	1430	1430
UTR13.oligo354	1917	1917
UTR17.oligo642	729	729
UTR14.oligo448	1341	1341
UTR10.oligo163	1043	1043
UTR17.oligo237	1496	1496
UTR15.oligo39	1465	1465
UTR13.oligo337	779	779
UTR13.oligo286	1779	1779
UTR15.oligo532	1229	1229
UTR16.oligo654	722	722
UTR13.oligo340	1249	1249
UTR17.oligo684	225	225
UTR6.oligo171	744	744
UTR16.oligo646	1672	1672
UTR15.oligo550	1267	1267
UTR2.oligo258	1366	1366
UTR17.oligo348	1761	1761
UTR8.oligo52	1854	1854
UTR11.oligo78	1792	1792
UTR2.oligo139	728	728
UTR6.oligo473	732	732
UTR17.oligo646	1820	1820
UTR15.oligo266	1800	1800
UTR4.oligo74	1557	1557
UTR13.oligo251	1509	1509
UTR15.oligo906	1172	1172
UTR1.oligo794	418	418
UTR17.oligo274	1738	1738
UTR3.oligo56	315	315
UTR5.oligo58	1331	1331
UTR4.oligo324	1899	1899
UTR1.oligo407	1823	1823
UTR9.oligo158	1277	1277
UTR12.oligo147	896	896
UTR11.oligo33	1898	1898
UTR9.oligo266	1810	1810
UTR17.oligo210	911	911
UTR11.oligo22	637	637
UTR7.oligo40	1678	1678
UTR2.oligo127	1402	1402
UTR4.oligo611	1528	1528
UTR1.oligo655	1895	1895
UTR1.oligo110	1589	1589
UTR13.oligo479	1871	1871
UTR4.oligo40	1849	1849
UTR4.oligo380	1488	1488
UTR15.oligo915	1912	1912
UTR2.oligo281	1368	1368
UTR17.oligo565	1305	1305
UTR4.oligo71	806	806
UTR9.oligo203	1627	1627
UTR15.oligo148	363	363
UTR6.oligo534	1755	1755
UTR9.oligo86	1906	1906
UTR13.oligo188	1199	1199
UTR12.oligo697	1817	1817
UTR4.oligo751	202	202
UTR9.oligo361	1141	1141
UTR12.oligo295	986	986
UTR16.oligo671	1090	1090
UTR16.oligo267	1483	1483
UTR16.oligo690	1884	1884
UTR6.oligo445	806	806
UTR17.oligo841	1081	1081
UTR7.oligo680	1134	1134
UTR8.oligo34	1317	1317
UTR3.oligo84	1576	1576
UTR16.oligo530	1808	1808
UTR6.oligo174	1243	1243
UTR15.oligo637	1898	1898
UTR4.oligo8	773	773
UTR5.oligo134	1830	1830
UTR17.oligo683	1013	1013
UTR13.oligo144	995	995
UTR10.oligo521	825	825
UTR15.oligo203	1806	1806
UTR7.oligo282	1742	1742
UTR14.oligo439	1805	1805
UTR15.oligo822	754	754
UTR17.oligo838	1361	1361
UTR16.oligo519	1316	1316
UTR7.oligo237	1525	1525
UTR1.oligo101	1068	1068
UTR4.oligo319	1783	1783
UTR10.oligo579	629	629
UTR17.oligo748	1843	1843
UTR12.oligo754	1738	1738
UTR17.oligo698	1328	1328
UTR14.oligo78	1872	1872
UTR12.oligo261	1521	1521
UTR4.oligo314	814	814
UTR1.oligo184	324	324
UTR3.oligo201	1690	1690
UTR17.oligo138	1319	1319
UTR4.oligo716	414	414
UTR14.oligo262	1695	1695
UTR15.oligo751	1004	1004
UTR3.oligo554	1588	1588
UTR13.oligo39	1576	1576
UTR14.oligo396	1740	1740
UTR15.oligo14	1810	1810
UTR10.oligo379	1780	1780
UTR5.oligo5	1470	1470
UTR11.oligo182	1230	1230
UTR2.oligo44	676	676
UTR4.oligo465	1714	1714
UTR12.oligo67	1633	1633
UTR3.oligo173	239	239
UTR1.oligo843	1588	1588
UTR6.oligo497	1447	1447
UTR14.oligo109	345	345
UTR15.oligo851	1732	1732
UTR5.oligo108	1897	1897
UTR5.oligo269	971	971
UTR4.oligo263	1452	1452
UTR1.oligo441	1454	1454
UTR17.oligo242	1868	1868
UTR4.oligo655	1793	1793
UTR13.oligo139	1825	1825
UTR7.oligo225	1862	1862
UTR4.oligo561	856	856
UTR4.oligo45	1196	1196
UTR6.oligo11	1909	1909
UTR14.oligo5	1472	1472
UTR12.oligo463	1680	1680
UTR6.oligo362	1628	1628
UTR12.oligo605	1636	1636
UTR1.oligo54	1898	1898
UTR15.oligo419	904	904
UTR15.oligo212	1438	1438
UTR16.oligo510	950	950
UTR1.oligo882	781	781
UTR10.oligo78	1626	1626
UTR2.oligo172	993	993
UTR7.oligo202	212	212
UTR17.oligo128	1888	1888
UTR16.oligo641	1328	1328
UTR17.oligo742	836	836
UTR3.oligo121	1769	1769
UTR7.oligo122	970	970
UTR9.oligo167	1754	1754
UTR12.oligo636	1269	1269
UTR4.oligo865	492	492
UTR15.oligo22	427	427
UTR7.oligo596	1152	1152
UTR10.oligo77	1484	1484
UTR10.oligo234	1422	1422
UTR12.oligo709	1886	1886
UTR9.oligo315	1827	1827
UTR13.oligo317	768	768
UTR13.oligo278	1174	1174
UTR7.oligo288	1242	1242
UTR1.oligo506	1567	1567
UTR6.oligo366	1005	1005
UTR2.oligo53	1520	1520
UTR6.oligo238	661	661
UTR10.oligo193	214	214
UTR16.oligo532	1537	1537
UTR1.oligo69	1229	1229
UTR15.oligo467	992	992
UTR12.oligo665	1324	1324
UTR1.oligo287	990	990
UTR10.oligo9	1810	1810
UTR4.oligo109	1923	1923
UTR3.oligo291	1916	1916
UTR5.oligo69	1521	1521
UTR11.oligo150	1138	1138
UTR17.oligo273	1814	1814
UTR13.oligo424	1584	1584
UTR6.oligo115	521	521
UTR7.oligo146	1341	1341
UTR1.oligo552	1674	1674
UTR16.oligo612	1239	1239
UTR6.oligo217	1693	1693
UTR5.oligo210	633	633
UTR3.oligo349	870	870
UTR1.oligo625	1464	1464
UTR6.oligo69	1733	1733
UTR12.oligo446	498	498
UTR17.oligo203	1432	1432
UTR10.oligo343	1026	1026
UTR16.oligo64	1543	1543
UTR5.oligo111	645	645
UTR12.oligo171	428	428
UTR17.oligo230	1885	1885
UTR12.oligo337	1418	1418
UTR3.oligo200	1132	1132
UTR14.oligo315	1875	1875
UTR13.oligo312	1132	1132
UTR10.oligo286	1526	1526
